;osmid;y;x;street_cou;lon;lat;elevation;highway;geometry
2869;599578017.0;5156839.674042696;318542.2996445992;3;6.6333732;46.5406357;613.2825927734374;;POINT (318542.2996445992 5156839.674042696)
2870;599578021.0;5156844.864230977;318541.67259617755;3;6.633363;46.5406822;613.4705810546875;;POINT (318541.67259617755 5156844.8642309755)
2871;599595587.0;5156552.745529999;318443.72527499555;3;6.6322009;46.5380291;592.831298828125;;POINT (318443.72527499555 5156552.745529998)
2872;602698461.0;5156000.338243004;318319.380515349;3;6.6307968;46.5330284;566.3716430664062;;POINT (318319.380515349 5156000.338243005)
2873;599706442.0;5156475.960708995;318649.99792742723;3;6.6349187;46.5373943;610.1375122070312;;POINT (318649.99792742723 5156475.960708995)
2874;599706228.0;5156203.06854709;318658.14935334213;3;6.6351315;46.5349427;602.4730834960938;;POINT (318658.14935334213 5156203.06854709)
2875;602221955.0;5156217.2898231875;318633.75531519006;3;6.6348081;46.535064;600.3828125;;POINT (318633.75531519006 5156217.289823187)
2876;602221957.0;5156225.028283934;318620.4643139909;3;6.6346319;46.53513;599.34130859375;;POINT (318620.4643139909 5156225.028283934)
2877;599706379.0;5156515.158350379;318567.444978036;3;6.6338277;46.5377245;603.7237548828125;;POINT (318567.444978036 5156515.158350379)
2878;599706386.0;5156531.941283063;318569.6367028118;3;6.6338497;46.537876;604.21435546875;;POINT (318569.6367028118 5156531.941283062)
2879;599706447.0;5156483.198409744;318648.58791262715;3;6.6348975;46.537459;610.1875;;POINT (318648.58791262715 5156483.198409744)
2880;599728273.0;5155679.742966757;318586.73975200567;3;6.6344055;46.5302178;583.4318237304688;;POINT (318586.73975200567 5155679.742966757)
2881;599728266.0;5155774.194958812;318554.48741440114;3;6.6339484;46.5310584;582.4497680664062;;POINT (318554.48741440114 5155774.194958813)
2882;599728268.0;5155787.713402319;318547.9772993801;3;6.6338583;46.5311782;582.2794189453125;;POINT (318547.9772993801 5155787.713402319)
2883;599728291.0;5155831.4667748725;318526.3862959729;3;6.6335599;46.5315658;581.8497314453125;;POINT (318526.38629597286 5155831.4667748725)
2884;599728293.0;5155881.836586065;318502.9678297419;3;6.6332351;46.5320124;580.35205078125;;POINT (318502.9678297419 5155881.836586065)
2885;599728573.0;5155890.697446311;318498.98154855164;3;6.6331797;46.532091;579.8600463867188;;POINT (318498.98154855164 5155890.697446311)
2886;5318609768.0;5154405.531814871;318311.2186484749;3;6.6313142;46.518686;475.5645751953125;;POINT (318311.2186484749 5154405.531814871)
2887;602129136.0;5154414.439832133;318323.0784648055;3;6.6314652;46.5187693;477.3309326171875;;POINT (318323.0784648055 5154414.439832133)
2888;602669751.0;5155840.011346502;318779.7041523874;3;6.636857;46.5317109;605.58984375;;POINT (318779.7041523874 5155840.011346502)
2889;602669730.0;5155843.3796008155;318780.495806895;3;6.636866;46.5317414;605.9489135742188;;POINT (318780.495806895 5155843.379600815)
2890;602698292.0;5155776.993315155;318356.69237626664;2;6.6313703;46.5310302;544.5519409179688;;POINT (318356.69237626664 5155776.993315155)
2891;602698293.0;5155789.404057844;318347.0792823217;2;6.6312402;46.5311392;545.3706665039062;;POINT (318347.0792823217 5155789.404057844)
2892;2513143329.0;5155759.365811296;318368.5589921439;3;6.6315318;46.5308749;543.5526733398438;;POINT (318368.5589921439 5155759.365811297)
2893;602698294.0;5155791.061172973;318338.1872208554;2;6.6311237;46.5311517;545.6693115234375;;POINT (318338.1872208554 5155791.061172973)
2894;602698297.0;5155649.203427816;318392.8611465967;3;6.6318915;46.5298909;537.0980224609375;;POINT (318392.8611465967 5155649.203427817)
2895;602698299.0;5155653.193450396;318405.9141861303;3;6.63206;46.5299303;537.1046752929688;;POINT (318405.9141861303 5155653.193450396)
2896;602698301.0;5155681.673031877;318398.19533597515;2;6.6319483;46.5301843;538.9007568359375;;POINT (318398.19533597515 5155681.673031876)
2897;2513143316.0;5155706.066545049;318392.11161534075;3;6.6318595;46.530402;540.3017578125;;POINT (318392.11161534075 5155706.066545048)
2898;602698336.0;5155723.517121579;318386.8787752581;2;6.6317845;46.5305575;541.3863525390625;;POINT (318386.878775258 5155723.517121579)
2899;2513143365.0;5155902.096202439;318307.427460714;3;6.6306795;46.5321418;554.3027954101562;;POINT (318307.427460714 5155902.096202439)
2900;602698380.0;5155905.081790123;318311.33170644514;3;6.6307292;46.5321697;554.7062377929688;;POINT (318311.3317064452 5155905.081790123)
2901;602698403.0;5155921.309965395;318333.47846224124;3;6.6310114;46.5323216;558.2174682617188;;POINT (318333.47846224124 5155921.309965395)
2902;602698421.0;5155937.669556703;318357.5478384101;3;6.6313186;46.5324752;563.3790283203125;;POINT (318357.5478384101 5155937.669556703)
2903;602698416.0;5155938.2786779255;318359.4849214797;3;6.6313436;46.5324812;563.7715454101562;;POINT (318359.4849214797 5155938.2786779255)
2904;5653715835.0;5155973.408682937;318359.1810587441;3;6.6313259;46.532797;568.9829711914062;;POINT (318359.18105874397 5155973.408682936)
2905;602699323.0;5155445.74769135;318466.7521910684;2;6.6329337;46.5280814;523.7261352539062;;POINT (318466.7521910684 5155445.74769135)
2906;602699346.0;5155575.161825076;318424.2429239216;2;6.6323293;46.5292336;532.2056884765625;;POINT (318424.24292392156 5155575.161825076)
2907;602699325.0;5155435.63334831;318469.51909954124;2;6.6329737;46.5279912;523.100341796875;;POINT (318469.51909954124 5155435.633348309)
2908;602699351.0;5155590.523584416;318422.27838598774;3;6.6322977;46.5293712;533.1529541015625;;POINT (318422.27838598774 5155590.523584417)
2909;2512699558.0;5155597.656366321;318420.2895212888;2;6.632269;46.5294348;533.6177368164062;;POINT (318420.2895212888 5155597.656366321)
2910;608629848.0;5155742.476817512;318061.17220145685;3;6.6275336;46.53064;569.9376220703125;;POINT (318061.17220145685 5155742.476817512)
2911;609224230.0;5153822.962443725;317910.1696306362;3;6.6263185;46.5133393;413.6702575683594;;POINT (317910.1696306362 5153822.962443725)
2912;610316876.0;5153791.258680444;318131.3388815343;3;6.6292115;46.513114;416.3723754882813;;POINT (318131.3388815343 5153791.258680443)
2913;678462356.0;5153785.774199905;318183.6067188879;3;6.6298944;46.5130788;417.3209533691406;;POINT (318183.6067188879 5153785.774199905)
2914;610320504.0;5153486.06799222;318567.74271652586;3;6.6350145;46.5104875;417.4469909667969;;POINT (318567.74271652586 5153486.06799222)
2915;610320511.0;5153433.423655077;318588.0485556195;3;6.6352995;46.5100196;416.24902343750006;;POINT (318588.04855561955 5153433.423655077)
2916;610320590.0;5153536.698875798;318525.5631515271;3;6.6344454;46.5109314;418.5071105957031;;POINT (318525.5631515271 5153536.698875798)
2917;610320588.0;5153512.670071093;318545.46672354115;3;6.634714;46.5107207;417.935302734375;;POINT (318545.46672354115 5153512.670071093)
